timestamp,run_name,experiment,num_problems,samples,mcq_samples,free_samples,temperature,top_p,top_k,overall_correct,overall_accuracy,mcq_correct,mcq_count,mcq_accuracy,free_correct,free_count,free_accuracy,notes
20260426_123134,20260426_123134_starter_n100_mcq1x_free1x_t0.6,starter,100,1,1,1,0.6,0.95,20,41,41.0,17,38,44.73684210526316,24,62,38.70967741935484,Starter notebook prompt.
20260426_123727,20260426_123727_starter_n100_mcq1x_free1x_t0.6,starter,100,1,1,1,0.6,0.95,20,38,38.0,15,38,39.473684210526315,23,62,37.096774193548384,Starter notebook prompt.
20260426_123727,20260426_123727_strict_boxed_n100_mcq1x_free1x_t0.6,strict_boxed,100,1,1,1,0.6,0.95,20,34,34.0,14,38,36.8421052631579,20,62,32.25806451612903,Separate MCQ/free prompts with strict final boxed answer.
20260426_123727,20260426_123727_verify_n100_mcq1x_free1x_t0.6,verify,100,1,1,1,0.6,0.95,20,37,37.0,17,38,44.73684210526316,20,62,32.25806451612903,Strict boxed answer plus final answer verification.
20260426_123727,20260426_123727_concise_n100_mcq1x_free1x_t0.6,concise,100,1,1,1,0.6,0.95,20,37,37.0,17,38,44.73684210526316,20,62,32.25806451612903,Concise reasoning.
20260426_123727,20260426_123727_detailed_n100_mcq1x_free1x_t0.6,detailed,100,1,1,1,0.6,0.95,20,34,34.0,13,38,34.21052631578947,21,62,33.87096774193548,Detailed step-by-step reasoning.
20260426_125334,20260426_125334_starter_n100_mcq1x_free1x_t0.6,starter,100,1,1,1,0.6,0.95,20,37,37.0,12,38,31.57894736842105,25,62,40.32258064516129,Starter notebook prompt.
20260426_125334,20260426_125334_strict_boxed_n100_mcq1x_free1x_t0.6,strict_boxed,100,1,1,1,0.6,0.95,20,34,34.0,15,38,39.473684210526315,19,62,30.64516129032258,Separate MCQ/free prompts with strict final boxed answer.
20260426_125334,20260426_125334_verify_n100_mcq1x_free1x_t0.6,verify,100,1,1,1,0.6,0.95,20,34,34.0,13,38,34.21052631578947,21,62,33.87096774193548,Strict boxed answer plus final answer verification.
20260426_125334,20260426_125334_concise_n100_mcq1x_free1x_t0.6,concise,100,1,1,1,0.6,0.95,20,42,42.0,18,38,47.36842105263158,24,62,38.70967741935484,Concise reasoning.
20260426_125334,20260426_125334_detailed_n100_mcq1x_free1x_t0.6,detailed,100,1,1,1,0.6,0.95,20,36,36.0,15,38,39.473684210526315,21,62,33.87096774193548,Detailed step-by-step reasoning.
20260426_125334,20260426_125334_validate_random_n100_mcq1x_free1x_t0.6,validate_random,100,1,1,1,0.6,0.95,20,26,26.0,12,38,31.57894736842105,14,62,22.580645161290324,Seeded random proposed answer; model validates or corrects it.
20260426_133647,20260426_133647_split_concise_v1_n100_mcq1x_free1x_t0.6,split_concise_v1,100,1,1,1,0.6,0.95,20,42,42.0,16,38,42.10526315789474,26,62,41.935483870967744,Concise free-response prompt plus explicit MCQ option-letter prompt.
20260426_134222,20260426_134222_split_concise_v1_n100_mcq1x_free1x_t0.3,split_concise_v1,100,1,1,1,0.3,0.9,20,44,44.0,19,38,50.0,25,62,40.32258064516129,Concise free-response prompt plus explicit MCQ option-letter prompt.
20260426_134803,20260426_134803_split_concise_v1_n100_mcq1x_free4x_t0.6,split_concise_v1,100,1,1,4,0.6,0.95,20,40,40.0,13,38,34.21052631578947,27,62,43.54838709677419,Concise free-response prompt plus explicit MCQ option-letter prompt.
20260426_135929,20260426_135929_mcq_match_v2_n100_mcq1x_free1x_t0.6,mcq_match_v2,100,1,1,1,0.6,0.95,20,36,36.0,12,38,31.57894736842105,24,62,38.70967741935484,Concise free-response prompt plus stepwise MCQ answer-choice matching.
